TotalPeriods,NativeProfit,SettlerProfit
17,900.2,1217.1
18,948.22,1297.92
15,791.7,1011.76
12,619.28,708.69
23,1215.53,1787.7
12,627.0,722.56
22,1164.11,1690.78
14,728.87,910.47
40,2148.13,3582.77
19,1002.75,1425.34
21,1120.39,1630.34
12,625.57,733.02
41,2208.46,3559.46
14,729.56,915.57
19,1003.81,1407.78
16,845.43,1106.2
13,673.83,812.99
13,674.16,808.19
14,731.79,918.54
14,731.76,899.29
23,1222.75,1783.95
15,796.47,1025.23
20,1054.88,1492.25
16,840.04,1101.89
15,779.13,1015.49
12,624.42,718.01
11,571.1,620.53
20,1049.57,1503.1
20,1062.31,1488.9
19,1004.72,1399.01
14,736.03,937.11
16,837.99,1094.4
21,1115.26,1612.0
18,955.74,1335.55
11,573.38,627.65
13,679.88,819.84
12,629.55,728.54
14,733.88,926.15
11,572.23,622.25
12,629.61,735.98
20,1060.12,1517.98
25,1325.48,1977.78
11,571.65,628.74
23,1217.87,1794.2
12,612.77,704.44
36,1919.36,3043.84
30,1607.07,2470.74
24,1279.27,1906.97
14,737.02,934.73
17,897.59,1257.16
11,564.56,613.73
17,895.28,1208.13
18,948.48,1309.98
11,573.55,624.96
11,568.01,613.01
13,675.63,821.64
14,734.38,921.71
17,900.38,1227.84
12,621.55,711.35
15,790.2,1023.63
23,1216.94,1796.82
16,834.81,1110.41
12,616.95,706.89
11,566.98,616.41
13,681.93,832.63
24,1280.2,1913.53
11,565.75,616.91
13,676.78,832.23
17,896.97,1233.66
11,571.96,626.38
24,1283.09,1940.54
15,781.45,1000.24
13,681.59,830.8
12,627.38,720.62
30,1612.07,2531.5
14,728.39,902.62
20,1055.44,1494.46
14,735.18,923.04
11,571.83,638.79
13,675.71,810.3
37,1982.58,3140.39
11,565.39,619.25
15,792.11,1033.78
14,733.67,934.47
14,731.25,899.97
11,567.51,619.06
31,1651.22,2582.84
12,632.08,735.82
11,570.47,623.45
21,1108.35,1605.66
11,577.04,634.23
11,567.78,618.43
11,572.12,636.32
18,952.02,1317.66
17,892.38,1205.12
16,844.95,1111.2
21,1110.68,1592.75
13,676.96,821.25
13,684.84,834.85
12,629.09,725.73
14,725.06,896.79
24,1270.64,1913.83
11,573.27,630.71
12,620.1,717.43
11,575.53,635.12
18,949.99,1297.32
12,620.06,713.62
17,891.11,1209.24
23,1225.85,1827.63
18,951.72,1326.74
13,669.83,812.15
13,685.93,834.17
13,685.08,839.13
27,1437.82,2211.94
19,1011.27,1433.89
18,940.83,1311.38
11,566.38,607.24
12,619.91,705.82
11,566.8,614.15
12,619.57,711.44
12,619.15,709.8
13,677.16,823.44
12,623.25,718.72
11,569.43,623.31
12,621.52,712.12
21,1114.42,1611.08
11,572.06,633.04
18,950.17,1317.6
18,952.26,1328.44
17,892.04,1209.89
24,1277.39,1889.95
14,724.87,896.35
14,732.38,906.57
13,676.55,817.47
14,740.3,939.57
14,733.17,921.46
13,677.08,806.6
52,2797.55,4719.53
19,1008.1,1420.05
14,733.12,925.88
14,738.79,929.18
14,734.59,926.49
18,955.46,1314.14
11,570.76,625.49
21,1115.08,1604.08
14,735.83,916.5
14,730.23,910.7
30,1608.15,2529.72
16,843.27,1132.03
11,572.64,628.31
16,843.97,1105.26
14,733.88,913.6
11,569.25,625.63
13,677.6,818.89
18,951.21,1297.6
12,630.32,727.91
11,562.08,610.87
11,570.42,619.71
18,950.12,1336.72
24,1274.7,1896.16
19,997.19,1404.32
19,1000.64,1394.89
15,788.29,1016.68
29,1541.17,2415.38
11,576.41,634.58
20,1055.91,1497.52
15,792.52,1027.7
17,897.35,1226.38
16,833.37,1100.52
14,732.39,925.81
11,570.05,626.71
20,1062.31,1499.72
11,567.8,617.58
13,682.54,823.89
13,671.09,802.48
16,843.04,1135.6
25,1334.08,2026.9
16,836.29,1117.21
13,677.62,814.46
11,569.43,622.06
12,623.25,714.45
11,570.72,630.0
22,1172.87,1727.37
12,616.98,710.02
13,678.72,812.22
11,566.07,618.2
11,569.79,629.64
16,846.99,1127.4
16,845.55,1140.57
13,670.48,815.01
15,791.55,1031.22
15,793.45,1037.79
18,954.2,1320.57
33,1768.88,2815.27
11,571.77,622.59
23,1216.86,1805.67
30,1612.24,2558.73
11,573.84,632.53
16,844.2,1121.29
18,946.7,1313.67
