SubId,Match,CurrentPeriod,NativeSpending,SettlerSpending,InitNativeSaving,EndNativeSaving,InitSettlerSaving,EndSettlerSaving,InitNativeLand,EndNativeLand,InitSettlerLand,EndSettlerLand,NativeIncome,SettlerIncome,Treatment,TreatyPeriod,TreatyPayment,TreatyEndingReason
101,1,1,3,38,100,167,100,125,65,62,35,38,70,63,,,,
101,1,2,4,37,167,231,125,160,62,60,38,40,69,71,,,,
101,2,1,6,39,100,164,100,124,65,63,35,37,70,63,,,,
101,2,2,8,38,164,225,124,155,63,62,37,38,69,69,,,,
101,2,3,2,32,225,292,155,195,62,59,38,41,68,73,,,,
101,2,4,6,31,292,352,195,245,59,59,41,41,67,80,,,,
101,3,1,1,39,100,169,100,124,65,61,35,39,70,63,,,,
101,3,2,3,33,169,234,124,166,61,59,39,41,68,75,,,,
101,3,3,8,31,234,293,166,215,59,59,41,41,67,80,,,,
101,3,4,8,29,293,352,215,266,59,59,41,41,67,80,,,,
101,3,5,4,31,352,415,266,315,59,58,41,42,67,80,,,,
101,3,6,7,32,415,474,315,367,58,58,42,42,66,84,,,,
101,4,1,4,41,100,167,100,122,65,62,35,38,70,63,,,,
101,4,2,6,34,167,230,122,160,62,61,38,39,69,72,,,,
101,4,3,5,33,230,292,160,203,61,59,39,41,68,76,,,,
102,1,1,2,34,100,168,100,129,65,62,35,38,70,63,,,,
102,1,2,0,0,168,276,129,161,62,44,38,56,68,72,annuity,1,40,SettlerBroken
102,1,3,0,0,276,331,161,282,62,62,38,38,55,121,,,,
102,1,4,5,35,331,381,282,367,62,60,38,40,55,121,,,,
102,1,5,0,0,381,488,367,405,60,34,40,66,67,77,annuity,1,40,SettlerBroken
102,1,6,0,0,488,532,405,544,60,60,40,40,44,140,,,,
102,1,7,8,32,532,568,544,651,60,60,40,40,44,140,,,,
102,1,8,0,0,568,674,651,690,60,44,40,56,67,78,annuity,1,39,BothBroken
102,1,9,0,0,674,729,690,811,60,60,40,40,55,121,,,,
102,1,10,10,30,729,774,811,901,60,60,40,40,55,121,,,,
102,1,11,0,0,774,881,901,939,60,49,40,51,67,77,annuity,1,40,SettlerBroken
102,1,12,0,0,881,940,939,1047,60,60,40,40,59,108,,,,
102,1,13,6,32,940,994,1047,1123,60,59,40,41,59,108,,,,
102,1,14,0,0,994,1098,1123,1165,59,33,41,67,67,80,annuity,1,38,SettlerBroken
102,1,15,0,0,1098,1141,1165,1306,59,59,41,41,43,141,,,,
102,1,16,6,32,1141,1178,1306,1415,59,59,41,41,43,141,,,,
102,1,17,0,0,1178,1281,1415,1459,59,32,41,68,66,82,annuity,1,37,SettlerBroken
102,1,18,0,0,1281,1322,1459,1602,59,59,41,41,41,142,,,,
102,1,19,6,33,1322,1358,1602,1711,59,58,41,42,41,142,,,,
102,1,20,0,0,1358,1461,1711,1758,58,50,42,50,66,83,annuity,1,37,MatchEnding
102,2,1,1,40,100,169,100,123,65,61,35,39,70,63,,,,
102,2,2,0,0,169,278,123,156,61,37,39,63,68,74,annuity,1,42,SettlerBroken
102,2,3,0,0,278,326,156,290,61,61,39,39,47,135,,,,
102,2,4,6,34,326,367,290,391,61,60,39,40,47,135,,,,
102,2,5,0,0,367,474,391,429,60,46,40,54,67,77,annuity,1,40,SettlerBroken
102,2,6,0,0,474,530,429,545,60,60,40,40,57,116,,,,
102,2,7,4,34,530,582,545,627,60,59,40,41,57,116,,,,
102,2,8,0,0,582,686,627,672,59,44,41,56,66,81,annuity,1,37,SettlerBroken
102,2,9,0,0,686,740,672,792,59,59,41,41,55,121,,,,
102,2,10,5,30,740,790,792,883,59,58,41,42,55,121,,,,
102,2,11,0,0,790,891,883,933,58,48,42,52,66,84,annuity,1,34,SettlerBroken
102,2,12,0,0,891,949,933,1044,58,58,42,42,58,111,,,,
102,2,13,10,30,949,997,1044,1124,58,59,42,41,58,111,,,,
102,2,14,0,0,997,1102,1124,1167,59,50,41,50,66,81,annuity,1,38,SettlerBroken
102,2,15,0,0,1102,1162,1167,1273,59,59,41,41,60,106,,,,
102,2,16,6,32,1162,1217,1273,1347,59,58,41,42,60,106,,,,
102,2,17,0,0,1217,1319,1347,1394,58,42,42,58,66,83,annuity,1,36,SettlerBroken
102,2,18,0,0,1319,1371,1394,1519,58,58,42,42,53,125,,,,
102,2,19,8,27,1371,1416,1519,1617,58,58,42,42,53,125,,,,
102,2,20,0,0,1416,1518,1617,1664,58,31,42,69,66,82,annuity,1,35,MatchEnding
102,3,1,1,42,100,169,100,121,65,61,35,39,70,63,,,,
102,3,2,6,33,169,231,121,163,61,60,39,40,68,75,,,,
102,4,1,1,41,100,169,100,122,65,61,35,39,70,63,,,,
102,4,2,0,0,169,279,122,155,61,41,39,59,68,75,annuity,1,42,SettlerBroken
102,4,3,0,0,279,330,155,282,61,61,39,39,52,127,,,,
102,4,4,5,36,330,377,282,373,61,60,39,40,52,127,,,,
102,4,5,0,0,377,483,373,412,60,37,40,63,67,79,annuity,1,40,BothBroken
102,4,6,0,0,483,531,412,546,60,60,40,40,47,135,,,,
102,4,7,6,33,531,572,546,648,60,59,40,41,47,135,,,,
102,4,8,0,0,572,676,648,691,59,39,41,61,67,81,annuity,1,38,SettlerBroken
102,4,9,0,0,676,726,691,822,59,59,41,41,49,131,,,,
102,4,10,5,33,726,770,822,920,59,58,41,42,49,131,,,,
102,4,11,0,0,770,872,920,968,58,45,42,55,66,84,annuity,1,36,SettlerBroken
102,4,12,0,0,872,928,968,1086,58,58,42,42,56,118,,,,
102,4,13,7,31,928,977,1086,1174,58,58,42,42,56,118,,,,
102,4,14,0,0,977,1078,1174,1222,58,50,42,50,66,84,annuity,1,36,MatchEnding
103,1,1,5,39,100,165,100,124,65,63,35,37,70,63,,,,
